site,date,eto,vpd_medio,t_media,rh_media
la_esperanza,2022-06-30,0.7,2.6,13.025,NA
la_esperanza,2022-07-01,0.9,1.325,10.49,NA
rio_claro,2022-07-01,0.7,0.725,6.352,NA
la_esperanza,2022-07-02,0.5,0,6.858,NA
la_esperanza,2022-07-03,0.5,1.175,8.07,NA
rio_claro,2022-07-03,0.6,5.225,8.683,NA
la_esperanza,2022-07-04,0.6,4.95,12.685,NA
la_esperanza,2022-07-05,0.6,4.05,11.81,NA
la_esperanza,2022-07-06,0.6,0.425,9.372,NA
rio_claro,2022-07-06,0.5,0,6.175,NA
la_esperanza,2022-07-07,0.7,4.45,12.35,NA
la_esperanza,2022-07-08,0.7,3.4,12.067,NA
la_esperanza,2022-07-09,1.3,3.125,11.41,NA
rio_claro,2022-07-09,0,1.3,7.85,NA
la_esperanza,2022-07-10,0.7,2.975,9.78,NA
la_esperanza,2022-07-11,0.7,3.1,12.285,NA
la_esperanza,2022-07-12,0.8,4.325,12.895,NA
rio_claro,2022-07-12,0.7,4.35,10.115,NA
la_esperanza,2022-07-13,0.9,0.675,8.005,NA
rio_claro,2022-07-13,0.6,2.35,8.03,NA
la_esperanza,2022-07-14,0.8,2.625,9.065,NA
la_esperanza,2022-07-15,0.6,1.225,8.312,NA
rio_claro,2022-07-15,0.5,0.3,4.602,NA
la_esperanza,2022-07-16,0.8,4.725,11.617,NA
la_esperanza,2022-07-17,0.6,2,9.235,NA
rio_claro,2022-07-17,0.6,3.45,8.502,NA
la_esperanza,2022-07-18,1,6.225,14.41,NA
la_esperanza,2022-07-19,1,2.75,10.765,NA
rio_claro,2022-07-19,0.8,3.05,10.91,NA
la_esperanza,2022-07-20,0.9,6.575,14.37,NA
la_esperanza,2022-07-21,1.1,6.775,14.8,NA
rio_claro,2022-07-21,0.9,5.275,12.295,NA
la_esperanza,2022-07-22,1.1,9.925,17.947,NA
la_esperanza,2022-07-23,0.9,1.25,11.747,NA
la_esperanza,2022-07-24,0.5,0.575,10.77,NA
rio_claro,2022-07-24,0.8,1.05,10.123,NA
la_esperanza,2022-07-25,1,5.925,14.978,NA
rio_claro,2022-07-25,0.6,0.975,9.377,NA
la_esperanza,2022-07-26,1.1,5.8,15.988,NA
rio_claro,2022-07-26,0.9,6.975,14.375,NA
la_esperanza,2022-07-27,1.1,6.025,15.055,NA
rio_claro,2022-07-27,0.6,0,9.505,NA
la_esperanza,2022-07-28,1.4,9.05,16.1,NA
la_esperanza,2022-07-29,1.1,6.05,14.235,NA
rio_claro,2022-07-29,1,6.225,13.692,NA
la_esperanza,2022-07-30,0.7,2.65,12.16,NA
la_esperanza,2022-07-31,0.9,3.7,13.64,NA
la_esperanza,2022-08-01,0.6,1.275,10.657,89.348
rio_claro,2022-08-01,0.7,0.325,7.962,96.042
